Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
18-24,814,0.009828009828009828,0.9803439803439803,0.16666666666666666,0.25,0.01240694789081886,0.2,0.8712779156327544
25-29,1101,0.02997275204359673,0.9500454132606722,0.19444444444444445,0.21212121212121213,0.027153558052434457,0.2028985507246377,0.7637612075814323
30-34,1615,0.03900928792569659,0.9312693498452013,0.25,0.38095238095238093,0.04639175257731959,0.3018867924528302,0.7928632793323515
35-39,2033,0.06443679291687161,0.8996556812592228,0.29608938547486036,0.40458015267175573,0.06624605678233439,0.3419354838709677,0.8346136248705661
40-44,2466,0.07988645579886455,0.8678021086780211,0.32132963988919666,0.5888324873096447,0.10797708241516087,0.4157706093189964,0.8586655719440797
45-49,3025,0.10314049586776859,0.836694214876033,0.33691756272401435,0.6025641025641025,0.1363803907113896,0.432183908045977,0.8365573638795165
50-54,3972,0.12210473313192347,0.8021148036253777,0.345005149330587,0.6907216494845361,0.1823917407513622,0.46016483516483514,0.834408805607869
55-59,4628,0.15665514261019878,0.746542783059637,0.3535947712418301,0.7462068965517241,0.253394824493979,0.47982261640798224,0.8255946354263298
60-64,4928,0.18709415584415584,0.7059659090909091,0.36167979002624673,0.7472885032537961,0.3035446829755367,0.48744251857092324,0.8011488732194549
65-69,4756,0.22624053826745164,0.6585365853658537,0.38045375218150085,0.8104089219330854,0.3858695652173913,0.517814726840855,0.7870404931711654
70-74,3508,0.24800456100342075,0.6003420752565565,0.3663316582914573,0.8379310344827586,0.478013646702047,0.5097902097902098,0.7553414725540943
75-79,2350,0.23574468085106384,0.5412765957446809,0.3215258855585831,0.851985559566787,0.5545657015590201,0.466864490603363,0.7306343619595893
80+,2525,0.2213861386138614,0.4764356435643564,0.2796071634893125,0.8658318425760286,0.6342828077314344,0.422707423580786,0.7009264836750702
