Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
18-24,814,0.009828009828009828,0.9889434889434889,0.3333333333333333,0.125,0.0024813895781637717,0.18181818181818182,0.7589950372208436
25-29,1101,0.02997275204359673,0.9627611262488647,0.3333333333333333,0.24242424242424243,0.0149812734082397,0.2807017543859649,0.7761604812166609
30-34,1615,0.03900928792569659,0.9436532507739938,0.3108108108108108,0.36507936507936506,0.03286082474226804,0.3357664233576642,0.8043078055964653
35-39,2033,0.06443679291687161,0.9109690113133301,0.345679012345679,0.42748091603053434,0.05573080967402734,0.3822525597269625,0.8390565174464807
40-44,2466,0.07988645579886455,0.8661800486618005,0.3157894736842105,0.5786802030456852,0.10885852798589687,0.40860215053763443,0.8548355343372268
45-49,3025,0.10314049586776859,0.8300826446280992,0.33222591362126247,0.6410256410256411,0.14817545152967196,0.437636761487965,0.8426344665286796
50-54,3972,0.12210473313192347,0.7817220543806647,0.3238007380073801,0.7237113402061855,0.21020934901061084,0.4474187380497132,0.8330097948492042
55-59,4628,0.15665514261019878,0.7227744165946414,0.33451957295373663,0.7779310344827586,0.28747117601844735,0.46785566155122355,0.8276104146235876
60-64,4928,0.18709415584415584,0.6921672077922078,0.3540951446787641,0.7830802603036876,0.3287568647029456,0.4876730834177643,0.8042441489609403
65-69,4756,0.22624053826745164,0.6528595458368377,0.37791932059447986,0.8271375464684015,0.39809782608695654,0.5187991839113961,0.7931404810489736
70-74,3508,0.24800456100342075,0.6120296465222349,0.37364899639732374,0.8344827586206897,0.4613343442001516,0.5161749022396018,0.7622659102594267
75-79,2350,0.23574468085106384,0.5706382978723404,0.33259749816041206,0.8158844765342961,0.505011135857461,0.47255619445896496,0.7350726242834055
80+,2525,0.2213861386138614,0.5544554455445545,0.3090418353576248,0.8193202146690519,0.5208545269582909,0.4487996080352768,0.7121358260372668
