Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
18-24,814,0.009828009828009828,0.9901719901719902,0.0,0.0,0.0,0.0,0.829559553349876
25-29,1101,0.02997275204359673,0.9709355131698456,1.0,0.030303030303030304,0.0,0.058823529411764705,0.7500851208716377
30-34,1615,0.03900928792569659,0.9578947368421052,0.2727272727272727,0.047619047619047616,0.005154639175257732,0.08108108108108109,0.7840165275732285
35-39,2033,0.06443679291687161,0.9365469749139204,0.5166666666666667,0.2366412213740458,0.015247108307045216,0.32460732984293195,0.8351032661481287
40-44,2466,0.07988645579886455,0.9075425790754258,0.4049079754601227,0.3350253807106599,0.04275011018069634,0.36666666666666664,0.8399158376081952
45-49,3025,0.10314049586776859,0.8694214876033057,0.3893333333333333,0.46794871794871795,0.08440840398083303,0.42503639010189226,0.8317431738920866
50-54,3972,0.12210473313192347,0.8194864048338368,0.3542713567839196,0.5814432989690722,0.14740464582735877,0.44028103044496486,0.8202519520220909
55-59,4628,0.15665514261019878,0.7776577355229041,0.38271604938271603,0.6841379310344827,0.20497053548552396,0.49084611578426524,0.8216305759495348
60-64,4928,0.18709415584415584,0.734577922077922,0.3859338061465721,0.7082429501084598,0.25936095856215674,0.4996174445294568,0.7999435228935338
65-69,4756,0.22624053826745164,0.6928090832632464,0.40531234628627644,0.7657992565055762,0.32853260869565215,0.5300739787713091,0.7802588845563277
70-74,3508,0.24800456100342075,0.6502280501710376,0.3927927927927928,0.7517241379310344,0.3832448824867324,0.5159763313609468,0.7494252873563219
75-79,2350,0.23574468085106384,0.6323404255319149,0.36160714285714285,0.7310469314079422,0.3981069042316258,0.4838709677419355,0.7187608041938363
80+,2525,0.2213861386138614,0.6463366336633664,0.33530571992110453,0.6082289803220036,0.34282807731434384,0.4322949777495232,0.6919073261546469
