feature,coefficient,abs_coef
CholCheck,1.1832897981631931,1.1832897981631931
Race_4.0,0.7128626569551426,0.7128626569551426
HighBP,0.6570807169549224,0.6570807169549224
HvyAlcoholConsump,-0.6445307737366387,0.6445307737366387
HighChol,0.6129375104791548,0.6129375104791548
Race_3.0,0.5738187627930119,0.5738187627930119
GenHlth,0.5348384336737119,0.5348384336737119
BMI,0.49764959647319573,0.49764959647319573
Race_2.0,0.4768528866372446,0.4768528866372446
Race_8.0,0.457664896757051,0.457664896757051
Race_7.0,0.357168109650108,0.357168109650108
Race_5.0,0.3042184210667282,0.3042184210667282
Sex,0.2737544242118751,0.2737544242118751
HeartDiseaseorAttack,0.24009235647520943,0.24009235647520943
Age,0.16844573329643858,0.16844573329643858
Stroke,0.1535293616393731,0.1535293616393731
Race_6.0,0.14476982311174397,0.14476982311174397
NoDocbcCost,0.11186737761490631,0.11186737761490631
DiffWalk,0.08253895259260588,0.08253895259260588
AnyHealthcare,0.053646261207922395,0.053646261207922395
Fruits,-0.049798265366678425,0.049798265366678425
PhysHlth,-0.049596198511940366,0.049596198511940366
Income,-0.04336050516831538,0.04336050516831538
Education,-0.031306835008061855,0.031306835008061855
PhysActivity,-0.02596489734534627,0.02596489734534627
Veggies,-0.019306736075004435,0.019306736075004435
Smoker,0.015549612090973317,0.015549612090973317
MentHlth,-0.005946165222863491,0.005946165222863491
