feature,importance
GenHlth,0.17045501197671226
BMI,0.1432980593919435
HighBP,0.1387460846982941
Age,0.11085320004369212
HighChol,0.06882297165150117
Income,0.05208261322289271
PhysHlth,0.04682476940666684
DiffWalk,0.041932549106511896
MentHlth,0.03390046036900432
Education,0.031024540250799502
Race,0.02733857423052586
HeartDiseaseorAttack,0.02193314827125188
Sex,0.016345319017092737
PhysActivity,0.013801394127538686
Smoker,0.013556996325526807
Fruits,0.01345179753577929
Veggies,0.011787438257746571
HvyAlcoholConsump,0.010271514875985235
CholCheck,0.009369786086643241
NoDocbcCost,0.008976360132384507
Stroke,0.008285505338364045
AnyHealthcare,0.0069419056831426925
