Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
18-24,814,0.009828009828009828,0.941031941031941,0.08333333333333333,0.5,0.05459057071960298,0.14285714285714285,0.84049317617866
25-29,1101,0.02997275204359673,0.8919164396003633,0.12931034482758622,0.45454545454545453,0.0945692883895131,0.20134228187919462,0.7735217341958914
30-34,1615,0.03900928792569659,0.8767801857585139,0.16666666666666666,0.5396825396825397,0.1095360824742268,0.2546816479400749,0.7869824905907381
35-39,2033,0.06443679291687161,0.8470241023118544,0.23053892215568864,0.5877862595419847,0.13512092534174552,0.3311827956989247,0.8282402613560654
40-44,2466,0.07988645579886455,0.8195458231954582,0.26515151515151514,0.7106598984771574,0.17100044072278536,0.38620689655172413,0.8469942482320754
45-49,3025,0.10314049586776859,0.7867768595041322,0.2817824377457405,0.6891025641025641,0.20199041651308514,0.4,0.826653718563044
50-54,3972,0.12210473313192347,0.7666163141993958,0.3111111111111111,0.7505154639175258,0.23114425007169487,0.4398791540785498,0.8298986811101026
55-59,4628,0.15665514261019878,0.7225583405358686,0.33353186420488384,0.7724137931034483,0.28670253651037664,0.46589018302828616,0.815582531562812
60-64,4928,0.18709415584415584,0.7017045454545454,0.3572916666666667,0.7440347071583514,0.30803794308537197,0.4827586206896552,0.79089798057794
65-69,4756,0.22624053826745164,0.6755677039529016,0.3903240958196336,0.7723048327137546,0.3527173913043478,0.5185647425897036,0.7746381020688541
70-74,3508,0.24800456100342075,0.6431014823261118,0.3871158392434988,0.7528735632183908,0.3931008339651251,0.5113192818110851,0.7365092851603008
75-79,2350,0.23574468085106384,0.6059574468085106,0.3396551724137931,0.7111913357400722,0.4265033407572383,0.4597432905484247,0.7049419890169089
80+,2525,0.2213861386138614,0.5885148514851485,0.3107255520504732,0.7048300536672629,0.44455747711088506,0.43130815544608647,0.6785278172583289
