Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
18-24,814,0.009828009828009828,0.9348894348894349,0.07547169811320754,0.5,0.060794044665012405,0.13114754098360656,0.8418889578163772
25-29,1101,0.02997275204359673,0.8837420526793823,0.13740458015267176,0.5454545454545454,0.10580524344569288,0.21951219512195122,0.7874248098967199
30-34,1615,0.03900928792569659,0.8656346749226006,0.15315315315315314,0.5396825396825397,0.1211340206185567,0.23859649122807017,0.7948780886925216
35-39,2033,0.06443679291687161,0.8273487456960157,0.21204188481675393,0.6183206106870229,0.15825446898002102,0.3157894736842105,0.8318563825944566
40-44,2466,0.07988645579886455,0.7948094079480941,0.23679727427597955,0.7055837563451777,0.1974438078448656,0.35459183673469385,0.844016572966467
45-49,3025,0.10314049586776859,0.7616528925619834,0.2630359212050985,0.7275641025641025,0.2344268337633616,0.38638297872340427,0.8335743381817837
50-54,3972,0.12210473313192347,0.7338872104733132,0.28592814371257486,0.7876288659793814,0.27358761112704333,0.4195496979681494,0.8271225376139356
55-59,4628,0.15665514261019878,0.6964131374243734,0.31521739130434784,0.8,0.3228285933897002,0.4522417153996101,0.8196278724588513
60-64,4928,0.18709415584415584,0.6820211038961039,0.34532374100719426,0.7809110629067245,0.34073889166250626,0.47888260724975057,0.7960055578237849
65-69,4756,0.22624053826745164,0.6602186711522288,0.38209606986899564,0.8131970260223048,0.3845108695652174,0.5199049316696376,0.7829444551074836
70-74,3508,0.24800456100342075,0.6251425313568986,0.377003869541183,0.7839080459770115,0.42721758908263835,0.5091452034341172,0.7463273291330075
75-79,2350,0.23574468085106384,0.5902127659574468,0.33731105807478123,0.7653429602888087,0.46380846325167036,0.46824958586416343,0.7126883447372018
80+,2525,0.2213861386138614,0.5829702970297029,0.3148425787106447,0.7513416815742398,0.4649033570701933,0.4437400950871632,0.6900246953122582
