Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
18-24,814,0.009828009828009828,0.941031941031941,0.08333333333333333,0.5,0.05459057071960298,0.14285714285714285,0.8190911910669976
25-29,1101,0.02997275204359673,0.8928247048138056,0.12389380530973451,0.42424242424242425,0.09269662921348315,0.1917808219178082,0.7700885257065033
30-34,1615,0.03900928792569659,0.874922600619195,0.16097560975609757,0.5238095238095238,0.11082474226804123,0.2462686567164179,0.7919376943217149
35-39,2033,0.06443679291687161,0.838662075750123,0.22096317280453256,0.5954198473282443,0.14458464773922186,0.32231404958677684,0.8290309116157359
40-44,2466,0.07988645579886455,0.8029197080291971,0.24057450628366248,0.6802030456852792,0.1864257382106655,0.35543766578249336,0.8439114259059987
45-49,3025,0.10314049586776859,0.7725619834710744,0.2696078431372549,0.7051282051282052,0.21968300774050867,0.3900709219858156,0.8325134442900755
50-54,3972,0.12210473313192347,0.7452165156092648,0.2920284135753749,0.7628865979381443,0.25724118153140235,0.4223744292237443,0.8243200813625868
55-59,4628,0.15665514261019878,0.7044079515989629,0.32069157836029,0.7931034482758621,0.31206764027671025,0.4567116759332804,0.8210725613365492
60-64,4928,0.18709415584415584,0.6905438311688312,0.3509639149777558,0.7700650759219089,0.3277583624563155,0.48217317487266553,0.7950851650940076
65-69,4756,0.22624053826745164,0.6698906644238857,0.38853790613718414,0.800185873605948,0.36820652173913043,0.523086269744836,0.7808646153224503
70-74,3508,0.24800456100342075,0.6356898517673888,0.38329519450800914,0.7701149425287356,0.4086429112964367,0.5118411000763942,0.7427012801408241
75-79,2350,0.23574468085106384,0.5987234042553191,0.3401807723911257,0.7472924187725631,0.4471046770601336,0.4675324675324675,0.7109692216156239
80+,2525,0.2213861386138614,0.5948514851485148,0.31761006289308175,0.7227191413237924,0.44150559511698884,0.4412889131622064,0.6918063246933105
