feature,coefficient,abs_coef
CholCheck,1.280356541781268,1.280356541781268
HighBP,0.891772749032618,0.891772749032618
HighChol,0.6826297515920012,0.6826297515920012
GenHlth,0.5785468981238385,0.5785468981238385
HeartDiseaseorAttack,0.4359197052577538,0.4359197052577538
BMI,0.4100157510823782,0.4100157510823782
DiffWalk,0.28232590041901623,0.28232590041901623
Stroke,0.26735010730408243,0.26735010730408243
MentHlth,-0.07708390504569522,0.07708390504569522
PhysHlth,-0.054743667082382874,0.054743667082382874
