Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
18-24,814,0.009828009828009828,0.9459459459459459,0.09090909090909091,0.5,0.04962779156327544,0.15384615384615385,0.8535204714640198
25-29,1101,0.02997275204359673,0.8955495004541326,0.12727272727272726,0.42424242424242425,0.0898876404494382,0.1958041958041958,0.7639172625127681
30-34,1615,0.03900928792569659,0.8773993808049536,0.16748768472906403,0.5396825396825397,0.10889175257731959,0.2556390977443609,0.7762538864342988
35-39,2033,0.06443679291687161,0.8470241023118544,0.23214285714285715,0.5954198473282443,0.13564668769716087,0.3340471092077088,0.8276422568449442
40-44,2466,0.07988645579886455,0.8171127331711273,0.26127819548872183,0.7055837563451777,0.17320405464962538,0.3813443072702332,0.8440982297261925
45-49,3025,0.10314049586776859,0.7857851239669421,0.2818181818181818,0.6955128205128205,0.20383339476594176,0.4011090573012939,0.8313013316699274
50-54,3972,0.12210473313192347,0.7648539778449144,0.3095843935538592,0.7525773195876289,0.2334384858044164,0.4387019230769231,0.8296346666114789
55-59,4628,0.15665514261019878,0.7251512532411409,0.3351416515973478,0.766896551724138,0.28260312580066616,0.4664429530201342,0.8176055554083066
60-64,4928,0.18709415584415584,0.7021103896103896,0.3582554517133956,0.7483731019522777,0.30853719420868697,0.4845505617977528,0.7923905898202588
65-69,4756,0.22624053826745164,0.6707317073170732,0.38636363636363635,0.7741635687732342,0.3595108695652174,0.5154702970297029,0.7779888778891224
70-74,3508,0.24800456100342075,0.6405359179019384,0.3860058309037901,0.7609195402298851,0.3991660348749052,0.5121856866537717,0.7395839324462106
75-79,2350,0.23574468085106384,0.6021276595744681,0.33951137320977254,0.7274368231046932,0.4365256124721604,0.462952326249282,0.7100335281773376
80+,2525,0.2213861386138614,0.5869306930693069,0.3118195956454121,0.7173524150268337,0.4501525940996948,0.43468834688346886,0.6835132857868196
