Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
18-24,814,0.009828009828009828,0.9361179361179361,0.07692307692307693,0.5,0.05955334987593052,0.13333333333333333,0.8482475186104218
25-29,1101,0.02997275204359673,0.8828337874659401,0.11904761904761904,0.45454545454545453,0.10393258426966293,0.18867924528301888,0.7693649982975825
30-34,1615,0.03900928792569659,0.8631578947368421,0.14732142857142858,0.5238095238095238,0.12306701030927836,0.22996515679442509,0.7834131075110458
35-39,2033,0.06443679291687161,0.8352188883423513,0.21823204419889503,0.6030534351145038,0.14879074658254468,0.3204868154158215,0.826458288181986
40-44,2466,0.07988645579886455,0.8025141930251419,0.24381625441696114,0.700507614213198,0.1886293521375055,0.3617300131061599,0.840203314145859
45-49,3025,0.10314049586776859,0.7692561983471075,0.26913875598086123,0.7211538461538461,0.2252119424990785,0.39198606271777003,0.8368231780506017
50-54,3972,0.12210473313192347,0.7389224572004028,0.28604651162790695,0.7608247422680412,0.26412388872956694,0.41577464788732393,0.8239425376730655
55-59,4628,0.15665514261019878,0.7013828867761452,0.3178036605657238,0.7903448275862069,0.3151421983089931,0.45332278481012656,0.8215706750775266
60-64,4928,0.18709415584415584,0.6885146103896104,0.34923757993113624,0.7700650759219089,0.33025461807289064,0.4805414551607445,0.7970802743823527
65-69,4756,0.22624053826745164,0.6671572750210261,0.3871829105473965,0.8085501858736059,0.37418478260869564,0.5236232320192598,0.7870435237190885
70-74,3508,0.24800456100342075,0.629418472063854,0.3796192609182531,0.7793103448275862,0.4200151630022744,0.5105421686746988,0.7477902538495724
75-79,2350,0.23574468085106384,0.5948936170212766,0.340032154340836,0.7635379061371841,0.45712694877505566,0.47052280311457173,0.7167622795944457
80+,2525,0.2213861386138614,0.5861386138613861,0.3172932330827068,0.7549194991055456,0.46185147507629704,0.4467972472207517,0.6953222674555093
