Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
18-24,814,0.009828009828009828,0.9508599508599509,0.1,0.5,0.04466501240694789,0.16666666666666666,0.8339795285359802
25-29,1101,0.02997275204359673,0.9082652134423251,0.13829787234042554,0.3939393939393939,0.07584269662921349,0.2047244094488189,0.7337277267052548
30-34,1615,0.03900928792569659,0.8891640866873065,0.16279069767441862,0.4444444444444444,0.09278350515463918,0.23829787234042554,0.7809636311569301
35-39,2033,0.06443679291687161,0.8578455484505657,0.2435064935064935,0.5725190839694656,0.12250262881177708,0.3416856492027335,0.8233037140494939
40-44,2466,0.07988645579886455,0.8240064882400648,0.2505263157894737,0.6040609137055838,0.15689731159100925,0.3541666666666667,0.8338933719319989
45-49,3025,0.10314049586776859,0.7950413223140496,0.2830985915492958,0.6442307692307693,0.18761518614080352,0.3933463796477495,0.8244433260559321
50-54,3972,0.12210473313192347,0.7673716012084593,0.30419268510258696,0.7030927835051546,0.22368798394034986,0.4246575342465753,0.8152238505908544
55-59,4628,0.15665514261019878,0.7318496110630942,0.33975155279503105,0.7544827586206897,0.27235459902639,0.4685224839400428,0.8158276127117072
60-64,4928,0.18709415584415584,0.7203733766233766,0.3730512249443207,0.7266811279826464,0.28107838242636046,0.493009565857248,0.7918400327924598
65-69,4756,0.22624053826745164,0.6900756938603869,0.4020669291338583,0.7592936802973977,0.33016304347826086,0.5257400257400258,0.7783200915225472
70-74,3508,0.24800456100342075,0.6519384264538198,0.39065420560747666,0.7206896551724138,0.3707354056103108,0.5066666666666667,0.738729270694448
75-79,2350,0.23574468085106384,0.6212765957446809,0.35185185185185186,0.720216606498195,0.40924276169265034,0.4727488151658768,0.7122551719424633
80+,2525,0.2213861386138614,0.6233663366336634,0.3274647887323944,0.6654740608228981,0.3886063072227874,0.4389380530973451,0.6921657443079762
