feature,coefficient,abs_coef
CholCheck,1.2248109535962866,1.2248109535962866
HighBP,0.893732059462988,0.893732059462988
HvyAlcoholConsump,-0.7405755221795624,0.7405755221795624
HighChol,0.6771895618983261,0.6771895618983261
GenHlth,0.569813204150182,0.569813204150182
HeartDiseaseorAttack,0.41314330226360146,0.41314330226360146
BMI,0.40212322211377205,0.40212322211377205
DiffWalk,0.25641981219907284,0.25641981219907284
Stroke,0.24965635092358118,0.24965635092358118
AnyHealthcare,0.12283234659706754,0.12283234659706754
Veggies,-0.09496014522535523,0.09496014522535523
PhysActivity,-0.08893422682908146,0.08893422682908146
Smoker,0.07543051025148835,0.07543051025148835
MentHlth,-0.07237356151629985,0.07237356151629985
PhysHlth,-0.06029552226062237,0.06029552226062237
NoDocbcCost,-0.021344128832242196,0.021344128832242196
Fruits,0.000899866531971515,0.000899866531971515
