feature,importance
GenHlth,0.2394511382684342
HighBP,0.18734784887670464
BMI,0.16596666936414994
HighChol,0.10994594355877846
DiffWalk,0.06695025762820876
PhysHlth,0.05546337206796261
MentHlth,0.03650106548321675
HeartDiseaseorAttack,0.03258759447753831
PhysActivity,0.014388148989933442
CholCheck,0.013698154280276235
HvyAlcoholConsump,0.013679042421168167
Smoker,0.012735442925307558
Fruits,0.011564155917750353
Stroke,0.011473388471527398
Veggies,0.011116122926190266
NoDocbcCost,0.00910593672473243
AnyHealthcare,0.008025717618120463
