Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
18-24,814,0.009828009828009828,0.9815724815724816,0.18181818181818182,0.25,0.011166253101736972,0.21052631578947367,0.8722084367245657
25-29,1101,0.02997275204359673,0.9482288828337875,0.18421052631578946,0.21212121212121213,0.02902621722846442,0.19718309859154928,0.7656906140052208
30-34,1615,0.03900928792569659,0.930030959752322,0.23958333333333334,0.36507936507936506,0.047036082474226804,0.2893081761006289,0.7929144166257569
35-39,2033,0.06443679291687161,0.9001475651746188,0.29545454545454547,0.3969465648854962,0.06519453207150368,0.33876221498371334,0.8352557773657299
40-44,2466,0.07988645579886455,0.8690186536901865,0.3240223463687151,0.5888324873096447,0.10665491405905686,0.418018018018018,0.8583378263194277
45-49,3025,0.10314049586776859,0.8376859504132231,0.3393177737881508,0.6057692307692307,0.13564319941024697,0.43498273878020716,0.8364321358700275
50-54,3972,0.12210473313192347,0.8008559919436052,0.34291581108829566,0.688659793814433,0.18353885861772298,0.4578478409869774,0.8343508584166817
55-59,4628,0.15665514261019878,0.7467588591184097,0.3543973941368078,0.7503448275862069,0.2539072508326928,0.4814159292035398,0.8258084408986898
60-64,4928,0.18709415584415584,0.7079951298701299,0.3638757240652975,0.7494577006507592,0.3015476784822766,0.4898971995746189,0.801113811928528
65-69,4756,0.22624053826745164,0.6585365853658537,0.3806620209059233,0.8122676579925651,0.3864130434782609,0.5183867141162515,0.7873359715936641
70-74,3508,0.24800456100342075,0.5983466362599772,0.3647767185148018,0.835632183908046,0.4799090219863533,0.5078588892769822,0.7551667494531733
75-79,2350,0.23574468085106384,0.5412765957446809,0.32128240109140516,0.8501805054151624,0.5540089086859689,0.46633663366336636,0.7310554742588826
80+,2525,0.2213861386138614,0.4764356435643564,0.27986151182919794,0.8676207513416816,0.6347914547304171,0.4232111692844677,0.7008955462905165
