Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
18-24,814,0.009828009828009828,0.9889434889434889,0.42857142857142855,0.375,0.004962779156327543,0.4,0.7537220843672456
25-29,1101,0.02997275204359673,0.9582198001816531,0.27586206896551724,0.24242424242424243,0.019662921348314606,0.25806451612903225,0.7920213369651572
30-34,1615,0.03900928792569659,0.9362229102167182,0.2727272727272727,0.38095238095238093,0.041237113402061855,0.31788079470198677,0.818616020291278
35-39,2033,0.06443679291687161,0.9006394490900148,0.31016042780748665,0.44274809160305345,0.06782334384858044,0.36477987421383645,0.8388116968076994
40-44,2466,0.07988645579886455,0.8605028386050284,0.31007751937984496,0.6091370558375635,0.11767298369325695,0.410958904109589,0.853572651025855
45-49,3025,0.10314049586776859,0.8228099173553719,0.326625386996904,0.6762820512820513,0.1603391079985256,0.4405010438413361,0.8413940003969491
50-54,3972,0.12210473313192347,0.7701409869083585,0.31161971830985913,0.7298969072164948,0.22426154287353026,0.4367674275138803,0.8321867082151969
55-59,4628,0.15665514261019878,0.7117545375972342,0.3284507042253521,0.8041379310344827,0.3054060978734307,0.4664,0.8293070759009427
60-64,4928,0.18709415584415584,0.6801948051948052,0.3486111111111111,0.8167028199566161,0.3512231652521218,0.48864373783257625,0.805983676329324
65-69,4756,0.22624053826745164,0.6377207737594617,0.3693984658861526,0.8503717472118959,0.42445652173913045,0.5150576977202365,0.7930970431954097
70-74,3508,0.24800456100342075,0.5909350057012542,0.36172295643661284,0.8494252873563218,0.4943138741470811,0.5073807071747339,0.7646919906233387
75-79,2350,0.23574468085106384,0.5459574468085107,0.3237113402061856,0.8501805054151624,0.5478841870824054,0.4688899950223992,0.7371118530549234
80+,2525,0.2213861386138614,0.5140594059405941,0.29357231149567364,0.8497316636851521,0.5813835198372329,0.4363803399173174,0.7102186181180242
