Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
18-24,814,0.009828009828009828,0.9889434889434889,0.0,0.0,0.0012406947890818859,0.0,0.8125
25-29,1101,0.02997275204359673,0.9682107175295186,0.3333333333333333,0.06060606060606061,0.003745318352059925,0.10256410256410256,0.7556747247758484
30-34,1615,0.03900928792569659,0.9572755417956657,0.38461538461538464,0.15873015873015872,0.010309278350515464,0.2247191011235955,0.7979565537555229
35-39,2033,0.06443679291687161,0.9291687161829808,0.43564356435643564,0.33587786259541985,0.02996845425867508,0.3793103448275862,0.8382779075460945
40-44,2466,0.07988645579886455,0.8909164639091647,0.356,0.4517766497461929,0.07095636844424857,0.3982102908277405,0.8461206327615868
45-49,3025,0.10314049586776859,0.8532231404958678,0.36075949367088606,0.5480769230769231,0.11168448212311095,0.4351145038167939,0.8376832345686014
50-54,3972,0.12210473313192347,0.7990936555891238,0.3336875664187035,0.6474226804123712,0.17981072555205047,0.44039270687237025,0.8248593450193502
55-59,4628,0.15665514261019878,0.7538893690579084,0.3610738255033557,0.7420689655172413,0.24391493722777352,0.48577878103837474,0.825509113237386
60-64,4928,0.18709415584415584,0.7144886363636364,0.370112479914301,0.7494577006507592,0.29355966050923615,0.49551810684833275,0.802464280802224
65-69,4756,0.22624053826745164,0.6738856181665265,0.39209450249886413,0.8020446096654275,0.3635869565217391,0.5267012511443393,0.7857661477695168
70-74,3508,0.24800456100342075,0.6302736602052451,0.3819789939192924,0.7942528735632184,0.42380591357088704,0.5158641284061217,0.7547266738124494
75-79,2350,0.23574468085106384,0.6012765957446808,0.3446877534468775,0.7671480144404332,0.44988864142538976,0.4756575265808618,0.7245689377919645
80+,2525,0.2213861386138614,0.6083168316831683,0.3226072607260726,0.6994633273703041,0.41759918616480163,0.44155844155844154,0.6992076389862002
