feature,coefficient,abs_coef
CholCheck,1.1764787175590936,1.1764787175590936
Race_4.0,0.7215334600732636,0.7215334600732636
HighBP,0.6577973057955836,0.6577973057955836
HvyAlcoholConsump,-0.6399763596783233,0.6399763596783233
HighChol,0.6154605357902446,0.6154605357902446
Race_3.0,0.5667542767335334,0.5667542767335334
GenHlth,0.5349791720874367,0.5349791720874367
BMI,0.497401775123312,0.497401775123312
Race_2.0,0.47414866259954025,0.47414866259954025
Race_8.0,0.45401656676848,0.45401656676848
Race_5.0,0.3616001029737416,0.3616001029737416
Race_7.0,0.3597018301974519,0.3597018301974519
Sex,0.27120477089045725,0.27120477089045725
HeartDiseaseorAttack,0.23956231014817717,0.23956231014817717
Race_6.0,0.1719074949128845,0.1719074949128845
Age,0.1667266358283868,0.1667266358283868
Stroke,0.15646044795390213,0.15646044795390213
DiffWalk,0.08436048770210282,0.08436048770210282
Fruits,-0.050337437311584216,0.050337437311584216
PhysHlth,-0.048227286077569716,0.048227286077569716
Income,-0.045370862875579704,0.045370862875579704
Education,-0.031500020960864274,0.031500020960864274
PhysActivity,-0.026260132206999857,0.026260132206999857
Veggies,-0.019596041085795414,0.019596041085795414
Smoker,0.016374044837167732,0.016374044837167732
MentHlth,-0.0024440068504383477,0.0024440068504383477
