feature,importance
GenHlth,0.20492492177594807
HighBP,0.16481292109201562
BMI,0.14053217216637096
Age,0.11214464959265903
HighChol,0.07879774754872883
DiffWalk,0.04317464098983511
Income,0.041530218871971086
PhysHlth,0.040391545614247105
MentHlth,0.02509353751308951
Race,0.02404384132241072
Education,0.02381209767593385
HeartDiseaseorAttack,0.02273552765241441
Sex,0.01325503873684042
PhysActivity,0.011704508178511944
HvyAlcoholConsump,0.009825751692584499
Smoker,0.009371880968287862
Fruits,0.009115935345964273
CholCheck,0.009103982701661698
Veggies,0.008467473149112257
Stroke,0.007161607411412747
