Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
18-24,814,0.009828009828009828,0.9803439803439803,0.16666666666666666,0.25,0.01240694789081886,0.2,0.8649193548387097
25-29,1101,0.02997275204359673,0.9500454132606722,0.19444444444444445,0.21212121212121213,0.027153558052434457,0.2028985507246377,0.7749971626376121
30-34,1615,0.03900928792569659,0.9306501547987616,0.25252525252525254,0.3968253968253968,0.04768041237113402,0.30864197530864196,0.7969644902634593
35-39,2033,0.06443679291687161,0.9021151008362026,0.3023255813953488,0.3969465648854962,0.06309148264984227,0.3432343234323432,0.83414204413193
40-44,2466,0.07988645579886455,0.8710462287104623,0.3295774647887324,0.5939086294416244,0.10489202291758484,0.42391304347826086,0.8587696004187985
45-49,3025,0.10314049586776859,0.8383471074380165,0.34111310592459604,0.6089743589743589,0.13527460375967565,0.4372842347525892,0.8347515996106117
50-54,3972,0.12210473313192347,0.8058912386706949,0.35196687370600416,0.7010309278350515,0.17952394608546027,0.4686423156443832,0.8344170837780385
55-59,4628,0.15665514261019878,0.7504321521175453,0.35929319371727747,0.7572413793103449,0.25083269280040993,0.4873501997336884,0.8244282470601747
60-64,4928,0.18709415584415584,0.7075892857142857,0.3637795275590551,0.7516268980477223,0.30254618072890666,0.490272373540856,0.7993278520397278
65-69,4756,0.22624053826745164,0.6555929352396972,0.37867012089810015,0.8150557620817844,0.39103260869565215,0.5170990566037735,0.7848735251333441
70-74,3508,0.24800456100342075,0.6020524515393386,0.36743951612903225,0.8379310344827586,0.47573919636087947,0.5108619481429573,0.7532691955765862
75-79,2350,0.23574468085106384,0.5404255319148936,0.32108843537414966,0.851985559566787,0.5556792873051225,0.466403162055336,0.7281011553954637
80+,2525,0.2213861386138614,0.47445544554455443,0.27880184331797236,0.8658318425760286,0.6368260427263479,0.42178649237472765,0.6976129987970816
