Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
18-24,814,0.009828009828009828,0.9864864864864865,0.2,0.125,0.004962779156327543,0.15384615384615385,0.7616315136476427
25-29,1101,0.02997275204359673,0.9536784741144414,0.2631578947368421,0.30303030303030304,0.026217228464419477,0.28169014084507044,0.7909147656338668
30-34,1615,0.03900928792569659,0.9356037151702786,0.28421052631578947,0.42857142857142855,0.04381443298969072,0.34177215189873417,0.8281275568646703
35-39,2033,0.06443679291687161,0.8957206099360551,0.29441624365482233,0.44274809160305345,0.07308096740273397,0.35365853658536583,0.8389220667678057
40-44,2466,0.07988645579886455,0.8657745336577454,0.3282051282051282,0.649746192893401,0.11546936976641692,0.43611584327086883,0.8605727606472584
45-49,3025,0.10314049586776859,0.8231404958677686,0.3216,0.6442307692307693,0.15628455584224107,0.42902881536819637,0.8391617520579923
50-54,3972,0.12210473313192347,0.7829808660624371,0.3269054178145087,0.734020618556701,0.21020934901061084,0.45235069885641677,0.835723852069099
55-59,4628,0.15665514261019878,0.7219101123595506,0.33451118963486454,0.783448275862069,0.28952088137330256,0.46884028064383,0.8278583229522826
60-64,4928,0.18709415584415584,0.6939935064935064,0.35637254901960785,0.7885032537960954,0.3277583624563155,0.49088453747467925,0.8029254924554601
65-69,4756,0.22624053826745164,0.6520185029436502,0.3778996204133277,0.8327137546468402,0.4008152173913043,0.5198723527705251,0.7914519607645062
70-74,3508,0.24800456100342075,0.6043329532497149,0.3694556451612903,0.8425287356321839,0.47422289613343444,0.5136650315346881,0.7627852866591722
75-79,2350,0.23574468085106384,0.5587234042553192,0.3281138790035587,0.8321299638989169,0.5256124721603563,0.4706482899438489,0.7356942423194744
80+,2525,0.2213861386138614,0.527920792079208,0.29724535554131964,0.8300536672629696,0.5579857578840285,0.4377358490566038,0.7103746699254045
