Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
18-24,814,0.009828009828009828,0.9901719901719902,0.0,0.0,0.0,0.0,0.8562344913151365
25-29,1101,0.02997275204359673,0.9691189827429609,0.3333333333333333,0.030303030303030304,0.0018726591760299626,0.05555555555555555,0.7245204857564408
30-34,1615,0.03900928792569659,0.9609907120743034,0.5,0.14285714285714285,0.005798969072164949,0.2222222222222222,0.7797005400098184
35-39,2033,0.06443679291687161,0.9345794392523364,0.48333333333333334,0.22137404580152673,0.01629863301787592,0.3036649214659686,0.8397006766681918
40-44,2466,0.07988645579886455,0.902676399026764,0.37714285714285717,0.3350253807106599,0.048038783605112385,0.3548387096774194,0.8330689742344959
45-49,3025,0.10314049586776859,0.8770247933884298,0.4142857142857143,0.46474358974358976,0.07556210836712127,0.4380664652567976,0.8258816760705814
50-54,3972,0.12210473313192347,0.8207452165156093,0.34926958831341304,0.5422680412371134,0.14052193862919415,0.42487883683360256,0.8167428948169785
55-59,4628,0.15665514261019878,0.7783059636992221,0.38214565387627253,0.6731034482758621,0.202152190622598,0.4875124875124875,0.815886276692553
60-64,4928,0.18709415584415584,0.7274756493506493,0.378534333525678,0.7114967462039046,0.2688467299051423,0.49416195856873824,0.796795316786209
65-69,4756,0.22624053826745164,0.6799831791421362,0.39330143540669854,0.7639405204460966,0.34456521739130436,0.5192672141503475,0.7745105665104249
70-74,3508,0.24800456100342075,0.6391106043329533,0.3851508120649652,0.7632183908045977,0.40181956027293403,0.5119506553585197,0.7463417078420608
75-79,2350,0.23574468085106384,0.6131914893617021,0.34578627280625546,0.7184115523465704,0.4192650334075724,0.46686217008797654,0.7136074549942512
80+,2525,0.2213861386138614,0.6384158415841584,0.33078393881453155,0.6189624329159212,0.3560528992878942,0.4311526479750779,0.6843308516697999
