feature,coefficient,abs_coef
CholCheck,0.9667910578829176,0.9667910578829176
HighBP,0.6443467302509308,0.6443467302509308
Race_4.0,0.6171255333661777,0.6171255333661777
HighChol,0.6087801565349336,0.6087801565349336
GenHlth,0.5369751865710325,0.5369751865710325
BMI,0.5021085633827663,0.5021085633827663
Race_3.0,0.4761051049461358,0.4761051049461358
Race_2.0,0.4605661464559709,0.4605661464559709
Race_8.0,0.42304862583143893,0.42304862583143893
Race_7.0,0.29174411933123295,0.29174411933123295
Sex,0.27167891827298457,0.27167891827298457
HeartDiseaseorAttack,0.23930579202904384,0.23930579202904384
Age,0.16806627956704456,0.16806627956704456
Stroke,0.1532449400323283,0.1532449400323283
Race_5.0,0.1499736420467853,0.1499736420467853
NoDocbcCost,0.10035380056487853,0.10035380056487853
DiffWalk,0.08867188386743105,0.08867188386743105
Race_6.0,0.07870184469137695,0.07870184469137695
AnyHealthcare,0.06191270232526415,0.06191270232526415
Income,-0.04835680766713038,0.04835680766713038
PhysHlth,-0.04654344952304539,0.04654344952304539
Education,-0.036863485875531364,0.036863485875531364
MentHlth,-0.009737924906260943,0.009737924906260943
